idPeliculas,titulo,anio,duracion,pais,direccion,sinopsis,genero,image
10,"Chico mocoso",2021,84,Austria,"Santiago Lopez Jover, Marcus H. Rosenmüller","Austria, años sesenta. Bub, un adolescente con inquietudes artísticas fan del dibujo, vive en un pequeño pueblo lleno de elementos reaccionarios. El lugar está plagado de nostálgicos del nazismo, unos personajes que se reúnen en el bar de la aldea, propiedad de los padres de Bub. En ese clima asfixiante, inicia una relación con una chica gitana de su edad que le cambiará para siempre.
","Animación. Comedia",https://image.tmdb.org/t/p/w500//xvgmSslUbi416VwsW1C1Cp90yX.jpg
11,"El callejón de las almas perdidas",2021,150,"Estados Unidos","Guillermo del Toro","Un buscavidas (Bradley Cooper) se compincha con una pitonisa (Cate Blanchett) para estafar a millonarios... Remake del film El callejón de las almas perdidas (Nightmare Alley) de 1947. ","Drama. Intriga | Drama psicológico. Años 40. Remake",https://es.web.img3.acsta.net/pictures/21/12/09/11/05/3181703.jpg
12,"Mi adorado Monster",2021,92,España,"Víctor Matellano","La industria del entretenimiento es muy caprichosa. Los cineastas vuelcan toda su pasión y esfuerzo en ella pero esto no asegura en lo más mínimo que esa industria vaya a reciprocar todo lo que le entregan. Y aún así lo siguen haciendo. Descubran la conmovedora historia de Arturo Bobadilla un creador que entrego toda su pasión y continua soñando y luchando por el cine de terror aunque el éxito y la fama lo han eludido.
","Documental | Documental sobre cine",https://www.ecartelera.com/carteles/17000/17016/001_p.jpg
13,"La abuela",2021,100,España,"Paco Plaza","Susana (Almudena Amor) tiene que dejar su vida en París trabajando como modelo para regresar a Madrid. Su abuela Pilar (Vera Valdez) acaba de sufrir un derrame cerebral. Años atrás, cuando los padres de Susana murieron, su abuela la crió como si fuese su propia hija. Susana necesita encontrar a alguien que cuide de Pilar, pero lo que deberían ser solo unos días con su abuela, se acabarán convirtiendo en una terrorífica pesadilla.
","Terror | Vejez / Madurez. Familia",https://mx.web.img3.acsta.net/pictures/21/08/02/12/16/1125463.jpg
14,"Agentes 355",2022,124,"Estados Unidos","Simon Kinberg","Cuando un arma ultra secreta cae en manos de unos peligrosos mercenarios, la agente especial de la CIA, Mason "Mace" Brown (Jessica Chastain) debe unir fuerzas con la agente alemana Marie (Diane Kruger), la ex aliada del MI6 y especialista en informática Khadijah (Lupita Nyong'o), y la experta psicóloga colombiana Graciela (Penélope Cruz), en una misión letal y vertiginosa para recuperarla. Mientras, una misteriosa mujer, Lin Mi Sheng (Fan Bingbing), sigue todos sus pasos. Juntas deberán superar sus conflictos personales y utilizar sus talentos y experiencia para salvar el mundo. En el camino, se convertirán en camaradas y amigas, formando un nuevo grupo letal: 355. Nombre que adoptan de la primera mujer espía en la Revolución Americana.
","Acción y Aventuras",https://es.web.img3.acsta.net/pictures/21/11/26/11/01/2729746.jpg
16,"No somos nada",2021,110,España,"Javier Corcuera","La Polla Records, una de las bandas más legendarias del punk, regresa para decir adiós. Con motivo de la gira definitiva del grupo, su vocalista, Evaristo Páramos, revive 40 años de historia desde su pueblo en Euskadi. Esta es la rocambolesca historia de unos aldeanos que revolucionaron la música enrabietada con unas canciones convertidas en himnos por sus miles de seguidores.
","Documental | Documental sobre música",https://es.web.img3.acsta.net/c_310_420/pictures/21/09/08/11/21/1430406.jpg
21,"Mad Max: Furia en la carretera",2015,120,Australia,"George Miller","Perseguido por su turbulento pasado, Mad Max cree que la mejor forma de sobrevivir es ir solo por el mundo. Sin embargo, se ve arrastrado a formar parte de un grupo que huye a través del desierto en un War Rig conducido por una Emperatriz de élite: Furiosa. Escapan de una Ciudadela tiranizada por Immortan Joe, a quien han arrebatado algo irreemplazable. Enfurecido, el Señor de la Guerra moviliza a todas sus bandas y persigue implacablemente a los rebeldes en una "guerra de la carretera" de altas revoluciones... Cuarta entrega de la saga post-apocalíptica que resucita la trilogía que a principios de los ochenta protagonizó Mel Gibson. (FILMAFFINITY)","Acción y Aventuras",https://r3.abcimg.es/resizer/resizer.php?imagen=https%3A%2F%2Fstatic3.abc.es%2Fmedia%2Fpeliculas%2F000%2F038%2F575%2Fmad-max-furia-en-la-carretera-1.jpg&nuevoancho=690&medio=abc
22,"El caballero oscuro: La leyenda renace",2012,164,"Estados Unidos","Christopher Nolan","Hace ocho años que Batman desapareció, dejando de ser un héroe para convertirse en un fugitivo. Al asumir la culpa por la muerte del fiscal del distrito Harvey Dent, el Caballero Oscuro decidió sacrificarlo todo por lo que consideraba, al igual que el Comisario Gordon, un bien mayor. La mentira funciona durante un tiempo, ya que la actividad criminal de la ciudad de Gotham se ve aplacada gracias a la dura Ley Dent. Pero todo cambia con la llegada de una astuta gata ladrona que pretende llevar a cabo un misterioso plan. Sin embargo, mucho más peligrosa es la aparición en escena de Bane, un terrorista enmascarado cuyos despiadados planes obligan a Bruce a regresar de su voluntario exilio. (FILMAFFINITY)","Acción y Aventuras",https://www.filmaboutit.com/data/shp/images/rrS7K8tXVFUBliIKWaRuSq65nWr.jpg
23,"Jungla de cristal",1988,131,"Estados Unidso","John McTiernan","En lo alto de la ciudad de Los Ángeles, un grupo terrorista se ha apoderado de un edificio tomando a un grupo de personas como rehenes. Sólo un hombre, el policía de Nueva York John McClane (Bruce Willis), ha conseguido escapar del acoso terrorista. Aunque está solo y fuera de servicio, McClane se enfrentará a los secuestradores. Él es la única esperanza para los rehenes. (FILMAFFINITY)","Acción y Aventuras",https://es.web.img3.acsta.net/medias/nmedia/18/67/73/71/19802298.jpg
26,Blindado,2009,88,"Estados Unidos","Nimród Antal","Un guarda novato que custodia un furgón blindado, forzado por sus problemas económicos y familiares, decide aceptar el ofrecimiento -casi obligado- de sus veteranos compañeros para robar unos de los furgones, con 42 millones de dólares. Pero un cambio de planes de última hora divide al grupo... ",Thriller,https://r3.abcimg.es/resizer/resizer.php?imagen=https%3A%2F%2Fstatic4.abc.es%2Fmedia%2Fpeliculas%2F000%2F027%2F452%2Fblindado-1.jpg&nuevoancho=690&medio=abc
27,Avatar,2009,161,"Estados Unidos","James Cameron","Año 2154. Jake Sully (Sam Worthington), un ex-marine condenado a vivir en una silla de ruedas, sigue siendo, a pesar de ello, un auténtico guerrero. Precisamente por ello ha sido designado para ir a Pandora, donde algunas empresas están extrayendo un mineral extraño que podría resolver la crisis energética de la Tierra. Para contrarrestar la toxicidad de la atmósfera de Pandora, se ha creado el programa Avatar, gracias al cual los seres humanos mantienen sus conciencias unidas a un avatar: un cuerpo biológico controlado de forma remota que puede sobrevivir en el aire letal. Esos cuerpos han sido creados con ADN humano, mezclado con ADN de los nativos de Pandora, los Na'vi. Convertido en avatar, Jake puede caminar otra vez. Su misión consiste en infiltrarse entre los Na'vi, que se han convertido en el mayor obstáculo para la extracción del mineral. Pero cuando Neytiri, una bella Na'vi (Zoe Saldana), salva la vida de Jake, todo cambia: Jake, tras superar ciertas pruebas, es admitido en su clan. Mientras tanto, los hombres esperan los resultados de la misión de Jake. ","Ciencia ficción",https://es.web.img3.acsta.net/medias/nmedia/18/92/13/82/20182449.jpg
28,Up,2009,96,"Estados Unidos","Pete Docter,Bob Peterson","Carl Fredricksen es un viudo vendedor de globos de 78 años que, finalmente, consigue llevar a cabo el sueño de su vida: enganchar miles de globos a su casa y salir volando rumbo a América del Sur. Pero ya estando en el aire y sin posibilidad de retornar Carl descubre que viaja acompañado de Russell, un explorador que tiene ocho años y un optimismo a prueba de bomba. 
",Animación,https://es.web.img3.acsta.net/medias/nmedia/18/68/08/67/19062963.jpg
29,"Celda 211",2009,110,España,"Daniel Monzón","El día en que Juan (Alberto Ammann) empieza a trabajar en su nuevo destino como funcionario de prisiones, se ve atrapado en un motín carcelario. Decide entonces hacerse pasar por un preso más para salvar su vida y para poner fin a la revuelta, encabezada por el temible Malamadre (Luis Tosar). Lo que ignora es que el destino le ha preparado una encerrona. ",Thriller,https://es.web.img2.acsta.net/medias/nmedia/18/67/28/11/19408424.jpg
30,"Resacón en Las Vegas",2009,100,"Estados Unidos","Todd Phillips","Historia de una desmadrada despedida de soltero en la que el novio y tres amigos se montan una gran juerga en Las Vegas. Como era de esperar, a la mañana siguiente tienen una resaca tan monumental que no pueden recordar nada de lo ocurrido la noche anterior. Lo más extraordinario es que el novio ha desaparecido y en la suite del hotel se encuentran un tigre y un bebé. ",Comedia,https://es.web.img3.acsta.net/medias/nmedia/18/69/99/97/20028573.jpg
